iter	Passed	Remaining
0	16	16302
1	29	14711
2	42	14007
3	55	13777
4	69	13751
5	81	13572
6	94	13431
7	107	13332
8	120	13291
9	133	13221
10	146	13167
11	158	13088
12	171	13029
13	184	13004
14	198	13058
15	213	13120
16	226	13094
17	239	13054
18	252	13027
19	265	13031
20	279	13008
21	293	13029
22	306	13020
23	319	13003
24	332	12982
25	345	12953
26	358	12931
27	371	12908
28	384	12882
29	399	12931
30	413	12917
31	426	12896
32	439	12870
33	452	12851
34	465	12826
35	479	12842
36	494	12862
37	507	12843
38	521	12854
39	534	12825
40	548	12841
41	563	12864
42	576	12840
43	589	12817
44	604	12829
45	617	12800
46	630	12776
47	643	12769
48	656	12750
49	669	12721
50	682	12706
51	695	12688
52	708	12666
53	723	12670
54	736	12647
55	749	12630
56	762	12611
57	775	12588
58	788	12580
59	801	12563
60	814	12543
61	827	12523
62	840	12506
63	855	12510
64	868	12489
65	881	12467
66	893	12444
67	906	12430
68	919	12413
69	933	12398
70	946	12388
71	960	12377
72	973	12363
73	986	12346
74	999	12331
75	1013	12316
76	1026	12302
77	1039	12286
78	1052	12269
79	1065	12249
80	1078	12231
81	1091	12214
82	1104	12197
83	1119	12203
84	1133	12202
85	1150	12222
86	1163	12204
87	1175	12187
88	1188	12168
89	1201	12149
90	1214	12131
91	1229	12131
92	1242	12115
93	1256	12114
94	1270	12100
95	1284	12099
96	1298	12087
97	1312	12080
98	1325	12066
99	1338	12048
100	1351	12029
101	1364	12015
102	1378	12001
103	1391	11985
104	1404	11969
105	1418	11964
106	1431	11945
107	1444	11930
108	1457	11913
109	1470	11901
110	1483	11885
111	1497	11870
112	1512	11869
113	1525	11857
114	1539	11845
115	1552	11834
116	1565	11818
117	1579	11802
118	1592	11788
119	1605	11773
120	1620	11771
121	1633	11756
122	1646	11738
123	1659	11723
124	1672	11710
125	1686	11695
126	1701	11693
127	1715	11689
128	1729	11675
129	1743	11665
130	1756	11652
131	1769	11637
132	1782	11621
133	1795	11605
134	1808	11588
135	1821	11572
136	1834	11554
137	1847	11539
138	1860	11524
139	1874	11516
140	1887	11500
141	1900	11484
142	1913	11469
143	1926	11453
144	1939	11438
145	1954	11431
146	1968	11422
147	1981	11406
148	1994	11389
149	2007	11373
150	2019	11357
151	2033	11342
152	2046	11327
153	2058	11310
154	2072	11296
155	2087	11292
156	2100	11277
157	2113	11262
158	2126	11249
159	2141	11240
160	2155	11234
161	2168	11218
162	2181	11203
163	2195	11190
164	2208	11174
165	2221	11158
166	2233	11143
167	2247	11128
168	2260	11113
169	2273	11099
170	2286	11086
171	2299	11071
172	2313	11057
173	2326	11042
174	2339	11027
175	2353	11018
176	2366	11003
177	2379	10989
178	2392	10974
179	2406	10960
180	2419	10948
181	2432	10934
182	2446	10922
183	2459	10908
184	2472	10894
185	2486	10883
186	2499	10867
187	2513	10854
188	2525	10838
189	2539	10825
190	2552	10809
191	2565	10796
192	2578	10782
193	2591	10767
194	2604	10751
195	2617	10738
196	2630	10722
197	2643	10708
198	2656	10693
199	2669	10679
200	2684	10670
201	2697	10656
